,0.1,0.9,0.5
2019-01-28 04:55:00,13227.49609375,30392.009765625,19432.142578125
2019-01-28 05:00:00,15350.2197265625,33793.5859375,23839.359375
2019-01-28 05:05:00,17009.779296875,35013.69921875,26514.23828125
2019-01-28 05:10:00,19659.701171875,40036.390625,28358.609375
2019-01-28 05:15:00,25051.666015625,41638.04296875,31923.10546875
2019-01-28 05:20:00,25954.359375,45639.3125,34601.0390625
2019-01-28 05:25:00,29543.9921875,50649.03125,39378.3515625
2019-01-28 05:30:00,31479.1640625,54131.19921875,41374.0703125
2019-01-28 05:35:00,35170.42578125,59741.87890625,46824.859375
2019-01-28 05:40:00,40151.72265625,62491.73046875,51618.03515625
2019-01-28 05:45:00,43855.35546875,67690.125,55358.515625
2019-01-28 05:50:00,48164.953125,72918.3984375,60558.37109375
2019-01-28 05:55:00,53694.86328125,78737.96875,64341.91015625
2019-01-28 06:00:00,56922.97265625,84169.234375,70850.0703125
2019-01-28 06:05:00,63497.75,92721.78125,76483.5234375
2019-01-28 06:10:00,67589.2578125,102468.3984375,83842.4453125
2019-01-28 06:15:00,75304.8515625,109830.9921875,90336.515625
2019-01-28 06:20:00,84836.3203125,122084.1328125,101164.921875
2019-01-28 06:25:00,90743.953125,135255.25,109077.1796875
2019-01-28 06:30:00,100765.5625,144496.296875,118345.75
2019-01-28 06:35:00,105797.328125,157703.140625,127490.9296875
2019-01-28 06:40:00,112776.21875,171887.078125,138523.15625
2019-01-28 06:45:00,118427.3984375,182399.109375,145426.4375
2019-01-28 06:50:00,128129.0625,186820.515625,154145.46875
2019-01-28 06:55:00,134756.71875,193088.15625,160221.171875
2019-01-28 07:00:00,141684.890625,195811.25,170192.421875
2019-01-28 07:05:00,146466.53125,203115.171875,172234.8125
2019-01-28 07:10:00,156573.890625,203000.59375,179040.03125
2019-01-28 07:15:00,160951.625,209551.5625,183925.546875
2019-01-28 07:20:00,169290.09375,213720.625,191405.953125
2019-01-28 07:25:00,177539.4375,216435.640625,198285.671875
2019-01-28 07:30:00,180220.90625,220306.40625,201244.875
2019-01-28 07:35:00,186280.15625,226729.84375,205435.375
2019-01-28 07:40:00,189408.296875,226611.296875,207825.25
2019-01-28 07:45:00,194782.5625,227893.75,211323.3125
2019-01-28 07:50:00,195634.53125,228439.625,212355.28125
2019-01-28 07:55:00,201398.625,229102.8125,213576.828125
2019-01-28 08:00:00,196146.59375,226302.390625,213137.671875
2019-01-28 08:05:00,200143.21875,224151.359375,214114.203125
2019-01-28 08:10:00,200677.25,226312.453125,212906.375
2019-01-28 08:15:00,202425.5,223322.9375,213933.15625
2019-01-28 08:20:00,203954.65625,223786.5,212703.3125
2019-01-28 08:25:00,201637.796875,221440.578125,211006.296875
2019-01-28 08:30:00,200518.015625,219887.5,211019.53125
2019-01-28 08:35:00,198286.171875,216225.8125,207564.15625
2019-01-28 08:40:00,193249.0,213702.75,203785.015625
2019-01-28 08:45:00,188047.609375,207847.09375,198396.421875
2019-01-28 08:50:00,183610.265625,203963.3125,192655.765625
2019-01-28 08:55:00,175758.21875,199829.0625,188594.390625
2019-01-28 09:00:00,169883.484375,193632.8125,182249.859375
2019-01-28 09:05:00,163915.75,189388.625,177130.9375
2019-01-28 09:10:00,156000.890625,181331.0,170111.265625
2019-01-28 09:15:00,150843.5,179750.734375,166247.25
2019-01-28 09:20:00,148121.515625,172123.84375,161487.515625
2019-01-28 09:25:00,143543.203125,169610.0,155241.265625
2019-01-28 09:30:00,140280.65625,165335.1875,153971.484375
2019-01-28 09:35:00,138892.640625,162631.203125,151241.71875
2019-01-28 09:40:00,135313.703125,161466.578125,148574.0625
2019-01-28 09:45:00,133776.0625,157287.828125,146514.9375
2019-01-28 09:50:00,133374.0625,154771.21875,144858.359375
2019-01-28 09:55:00,128669.8203125,154176.90625,140738.21875
2019-01-28 10:00:00,128459.421875,150559.5,140231.765625
2019-01-28 10:05:00,127456.75,148996.125,138255.421875
2019-01-28 10:10:00,126540.21875,147787.6875,136126.5625
2019-01-28 10:15:00,124469.15625,145773.203125,135004.96875
2019-01-28 10:20:00,125036.4140625,145450.5,134448.375
2019-01-28 10:25:00,121132.1796875,143894.21875,133647.421875
2019-01-28 10:30:00,122288.28125,143436.765625,133605.1875
2019-01-28 10:35:00,120882.171875,143668.8125,132944.125
2019-01-28 10:40:00,121243.359375,143828.65625,133060.625
2019-01-28 10:45:00,124570.90625,144910.046875,133598.640625
2019-01-28 10:50:00,125443.53125,144517.25,134274.953125
2019-01-28 10:55:00,126253.421875,146662.46875,136683.390625
2019-01-28 11:00:00,127976.90625,146213.0625,135840.703125
2019-01-28 11:05:00,128006.0703125,146685.96875,138593.609375
2019-01-28 11:10:00,129015.34375,147896.0625,139189.25
2019-01-28 11:15:00,129181.0859375,148214.234375,137638.296875
2019-01-28 11:20:00,129614.2578125,149746.1875,139598.28125
2019-01-28 11:25:00,130965.9453125,150704.125,140424.46875
2019-01-28 11:30:00,132545.921875,154552.828125,143167.4375
2019-01-28 11:35:00,131042.6015625,151628.78125,143503.140625
2019-01-28 11:40:00,135287.296875,154240.109375,143584.859375
2019-01-28 11:45:00,134230.59375,155873.296875,145537.296875
2019-01-28 11:50:00,133207.703125,159002.96875,146362.671875
2019-01-28 11:55:00,136182.171875,159595.96875,145737.640625
2019-01-28 12:00:00,133056.0,156358.03125,145432.953125
2019-01-28 12:05:00,133864.703125,158126.015625,143217.96875
2019-01-28 12:10:00,136289.375,158479.0625,145018.78125
2019-01-28 12:15:00,133697.890625,157743.890625,146140.640625
2019-01-28 12:20:00,133682.484375,156359.65625,146421.640625
2019-01-28 12:25:00,135918.875,158006.359375,145554.5
2019-01-28 12:30:00,134892.734375,158963.453125,145758.71875
2019-01-28 12:35:00,134941.625,160921.1875,147440.28125
2019-01-28 12:40:00,134727.46875,160759.25,144722.890625
2019-01-28 12:45:00,133994.796875,159211.609375,146875.78125
2019-01-28 12:50:00,130960.453125,157069.484375,146370.875
2019-01-28 12:55:00,135744.796875,159444.125,145859.109375
2019-01-28 13:00:00,131117.390625,159174.109375,144637.0
2019-01-28 13:05:00,131955.8125,157337.703125,143075.453125
2019-01-28 13:10:00,130382.6171875,156473.078125,141577.3125
2019-01-28 13:15:00,133618.84375,155426.625,143670.15625
2019-01-28 13:20:00,131711.484375,154693.796875,143768.421875
2019-01-28 13:25:00,131226.34375,155747.515625,142600.609375
2019-01-28 13:30:00,132472.796875,154849.6875,144107.625
2019-01-28 13:35:00,132246.1875,157587.703125,142241.53125
2019-01-28 13:40:00,132516.203125,157318.671875,143758.03125
2019-01-28 13:45:00,132106.875,154361.28125,144083.296875
2019-01-28 13:50:00,132030.828125,157314.890625,144387.40625
2019-01-28 13:55:00,131783.203125,156125.796875,145515.90625
2019-01-28 14:00:00,134454.625,155226.53125,143874.578125
2019-01-28 14:05:00,131344.921875,157261.390625,145635.53125
2019-01-28 14:10:00,135218.5625,155605.046875,147084.46875
2019-01-28 14:15:00,133434.53125,160893.65625,147074.0625
2019-01-28 14:20:00,134790.453125,159364.5625,145853.765625
2019-01-28 14:25:00,136559.171875,161253.015625,149786.859375
2019-01-28 14:30:00,136705.28125,162532.078125,152532.96875
2019-01-28 14:35:00,139669.734375,165163.8125,151483.5
2019-01-28 14:40:00,142899.640625,167265.28125,153530.46875
2019-01-28 14:45:00,140306.703125,170325.75,157024.625
2019-01-28 14:50:00,146836.796875,172209.265625,159606.84375
2019-01-28 14:55:00,148038.953125,173612.546875,162554.125
2019-01-28 15:00:00,149502.1875,172964.921875,161683.625
2019-01-28 15:05:00,149795.828125,175058.265625,162415.59375
2019-01-28 15:10:00,151195.296875,178912.65625,167467.53125
2019-01-28 15:15:00,155533.078125,182601.875,167972.453125
2019-01-28 15:20:00,157020.21875,183326.5625,171029.25
2019-01-28 15:25:00,159104.5,184660.78125,171966.15625
2019-01-28 15:30:00,160493.515625,188197.703125,174992.203125
2019-01-28 15:35:00,161179.671875,189099.125,176878.25
2019-01-28 15:40:00,163209.640625,191069.609375,179915.171875
2019-01-28 15:45:00,164605.90625,196005.40625,181698.703125
2019-01-28 15:50:00,170612.234375,195648.296875,183398.078125
2019-01-28 15:55:00,169154.03125,201218.109375,186575.0625
2019-01-28 16:00:00,171947.34375,200752.390625,187411.296875
2019-01-28 16:05:00,175826.25,201585.078125,187864.984375
2019-01-28 16:10:00,175056.03125,204296.859375,192898.0
2019-01-28 16:15:00,174081.171875,207548.296875,194232.703125
2019-01-28 16:20:00,180090.359375,205754.671875,193158.71875
2019-01-28 16:25:00,178302.5625,210286.90625,195397.953125
2019-01-28 16:30:00,182330.453125,210292.421875,197074.203125
2019-01-28 16:35:00,184395.140625,216135.84375,200810.796875
2019-01-28 16:40:00,186551.421875,213857.34375,199989.484375
2019-01-28 16:45:00,188361.265625,215719.0,199162.484375
2019-01-28 16:50:00,188088.578125,214605.28125,201863.5625
2019-01-28 16:55:00,188251.890625,216023.046875,203068.421875
2019-01-28 17:00:00,183683.625,215962.453125,199853.234375
2019-01-28 17:05:00,187971.546875,216174.875,201581.390625
2019-01-28 17:10:00,186424.171875,216840.421875,199501.65625
2019-01-28 17:15:00,185874.59375,212897.09375,201359.828125
2019-01-28 17:20:00,184356.40625,212861.265625,199123.109375
2019-01-28 17:25:00,183630.8125,211242.40625,197061.71875
2019-01-28 17:30:00,181035.609375,208555.015625,196504.890625
2019-01-28 17:35:00,181020.515625,211509.46875,194416.875
2019-01-28 17:40:00,178034.21875,206423.40625,192029.09375
2019-01-28 17:45:00,174626.453125,204768.03125,188392.8125
2019-01-28 17:50:00,172706.640625,198521.359375,186125.34375
2019-01-28 17:55:00,170898.625,195076.953125,181597.53125
2019-01-28 18:00:00,164029.484375,188526.421875,177339.15625
2019-01-28 18:05:00,160247.015625,186655.34375,170815.8125
2019-01-28 18:10:00,154729.0,179859.4375,166924.15625
2019-01-28 18:15:00,150182.90625,172758.71875,161552.609375
2019-01-28 18:20:00,145296.609375,169336.984375,157067.578125
2019-01-28 18:25:00,139194.640625,162785.4375,150948.59375
