anomaly_score;number_of_requests;weekday_id;dateminute
0,88576371355;196753;2;201901021247
1,28806834051;254427;4;201901041546
0,854674111811;187479;4;201812280940
1,13561336163;228432;2;201901021634
0,828250683025;33901;0;201812310013
0,962498453702;228487;5;201812291416
0,91190806543;176940;0;201812311506
1,15550742725;229996;2;201901021644
0,747574217543;65310;4;201812282113
0,694520117658;57558;0;201812241958
0,793616369;167437;4;201812281753
1,366649256;251869;0;201901070653
1,43782151939;9978;1;201901010448
0,814885825326;194974;6;201812231221
0,925621441763;218907;3;201812271634
0,991910679405;130833;6;201901061735
0,81277428356;38801;5;201812220455
0,719317962777;173209;0;201812241518
0,798834905062;30315;3;201901030104
0,878419544981;85561;6;201812301908
0,920527749111;49383;0;201812312016
0,76026657252;34488;5;201901050128
0,964760283087;111419;6;201901061810
0,889769693078;18553;6;201812300602
1,07101001182;243546;5;201812221233
0,847132410543;221588;5;201901051413
0,805199090592;23211;3;201812270220
1,28800875142;24466;1;201901080127
0,933025540717;22788;0;201812310358
0,764922537679;72088;4;201812282028
0,779186698134;56438;4;201812280559
0,995139410785;231074;5;201812221456
0,788050583347;74371;4;201812280630
0,797725166632;140670;1;201812251027
1,07276578717;241686;3;201812271409
0,948928226957;81636;4;201812212102
1,18915242475;242711;0;201901071655
0,886224814077;89898;6;201812301853
0,713481753831;58385;1;201812252116
0,712586484399;29619;2;201812260122
0,814053990232;165119;6;201812301154
0,889047111308;161332;2;201901020741
0,755660245554;120309;1;201812251422
0,730527626189;60307;2;201812262146
0,884712207883;199651;2;201901021221
0,71161359782;32008;2;201812260053
0,935729541902;190408;2;201901021008
0,837070731506;24971;3;201901030256
0,812626295211;196568;6;201812231242
0,91896939387;105461;5;201901051912
0,737072929977;48439;5;201812292255
1,01817075507;192509;0;201901070624
0,950794088807;212995;5;201812291540
0,77752056677;69550;6;201812230757
0,784677207223;168630;3;201812271748
1,27852623867;29716;1;201901080049
0,873413219158;22424;6;201812302327
0,705174176536;31547;6;201812300520
0,955121209585;227914;3;201812271159
1,21473803066;33322;1;201901080414
0,764165997331;22152;1;201812250243
0,987618970716;237919;3;201812271347
0,882841474932;126062;5;201812221850
