id;value;weekday_string;weekday
2018-12-21_18-12;200047;Freitag;4
2018-12-21_18-13;203981;Freitag;4
2018-12-21_18-14;191721;Freitag;4
2018-12-21_18-15;200562;Freitag;4
2018-12-21_18-16;199257;Freitag;4
2018-12-21_18-17;189776;Freitag;4
2018-12-21_18-18;193236;Freitag;4
2018-12-21_18-19;196557;Freitag;4
2018-12-21_18-20;191863;Freitag;4
2018-12-21_18-21;187866;Freitag;4
2018-12-21_18-22;194508;Freitag;4
2018-12-21_18-23;184222;Freitag;4
2018-12-21_18-24;188718;Freitag;4
2018-12-21_18-25;187130;Freitag;4
2018-12-21_18-26;189863;Freitag;4
2018-12-21_18-27;182950;Freitag;4
2018-12-21_18-28;183220;Freitag;4
2018-12-21_18-29;180292;Freitag;4
2018-12-21_18-30;185605;Freitag;4
2018-12-21_18-31;178848;Freitag;4
2018-12-21_18-32;181937;Freitag;4
2018-12-21_18-33;176336;Freitag;4
2018-12-21_18-34;176059;Freitag;4
2018-12-21_18-35;178437;Freitag;4
2018-12-21_18-36;174026;Freitag;4
2018-12-21_18-37;174083;Freitag;4
2018-12-21_18-38;172519;Freitag;4
2018-12-21_18-39;167378;Freitag;4
2018-12-21_18-40;175059;Freitag;4
2018-12-21_18-41;169590;Freitag;4
2018-12-21_18-42;172827;Freitag;4
2018-12-21_18-43;169393;Freitag;4
2018-12-21_18-44;165201;Freitag;4
2018-12-21_18-45;172651;Freitag;4
2018-12-21_18-46;167432;Freitag;4
2018-12-21_18-47;163569;Freitag;4
2018-12-21_18-48;164644;Freitag;4
2018-12-21_18-49;167295;Freitag;4
2018-12-21_18-50;165562;Freitag;4
2018-12-21_18-51;159840;Freitag;4
2018-12-21_18-52;168565;Freitag;4
2018-12-21_18-53;164465;Freitag;4
2018-12-21_18-54;158119;Freitag;4
2018-12-21_18-55;161149;Freitag;4
2018-12-21_18-56;158491;Freitag;4
2018-12-21_18-57;159574;Freitag;4
2018-12-21_18-58;159080;Freitag;4
2018-12-21_18-59;155179;Freitag;4
2018-12-21_19-00;155593;Freitag;4
2018-12-21_19-01;161107;Freitag;4
2018-12-21_19-02;152373;Freitag;4
2018-12-21_19-03;151584;Freitag;4
2018-12-21_19-04;155852;Freitag;4
2018-12-21_19-05;155558;Freitag;4
2018-12-21_19-06;147839;Freitag;4
2018-12-21_19-07;152099;Freitag;4
2018-12-21_19-08;150580;Freitag;4
2018-12-21_19-09;146641;Freitag;4
2018-12-21_19-10;145032;Freitag;4
2018-12-21_19-11;150448;Freitag;4
2018-12-21_19-12;144695;Freitag;4
2018-12-21_19-13;143808;Freitag;4
2018-12-21_19-14;141516;Freitag;4
2018-12-21_19-15;144042;Freitag;4
2018-12-21_19-16;140196;Freitag;4
2018-12-21_19-17;138370;Freitag;4
2018-12-21_19-18;138018;Freitag;4
2018-12-21_19-19;141898;Freitag;4
2018-12-21_19-20;135159;Freitag;4
2018-12-21_19-21;137131;Freitag;4
2018-12-21_19-22;138286;Freitag;4
2018-12-21_19-23;135994;Freitag;4
2018-12-21_19-24;129878;Freitag;4
2018-12-21_19-25;134144;Freitag;4
2018-12-21_19-26;134156;Freitag;4
2018-12-21_19-27;127615;Freitag;4
2018-12-21_19-28;132249;Freitag;4
2018-12-21_19-29;129181;Freitag;4
2018-12-21_19-30;127965;Freitag;4
2018-12-21_19-31;128820;Freitag;4
2018-12-21_19-32;127116;Freitag;4
2018-12-21_19-33;124083;Freitag;4
2018-12-21_19-34;125616;Freitag;4
2018-12-21_19-35;121481;Freitag;4
2018-12-21_19-36;119717;Freitag;4
2018-12-21_19-37;125506;Freitag;4
2018-12-21_19-38;115815;Freitag;4
2018-12-21_19-39;121762;Freitag;4
2018-12-21_19-40;122658;Freitag;4
2018-12-21_19-41;114950;Freitag;4
2018-12-21_19-42;118558;Freitag;4
2018-12-21_19-43;118818;Freitag;4
2018-12-21_19-44;116431;Freitag;4
2018-12-21_19-45;113923;Freitag;4
2018-12-21_19-46;113897;Freitag;4
2018-12-21_19-47;116652;Freitag;4
2018-12-21_19-48;109451;Freitag;4
2018-12-21_19-49;115010;Freitag;4
2018-12-21_19-50;112708;Freitag;4
2018-12-21_19-51;112012;Freitag;4
2018-12-21_19-52;109431;Freitag;4
2018-12-21_19-53;111097;Freitag;4
2018-12-21_19-54;113091;Freitag;4
2018-12-21_19-55;106946;Freitag;4
2018-12-21_19-56;106746;Freitag;4
2018-12-21_19-57;110506;Freitag;4
2018-12-21_19-58;104979;Freitag;4
2018-12-21_19-59;108324;Freitag;4
2018-12-21_20-00;104402;Freitag;4
2018-12-21_20-01;107338;Freitag;4
2018-12-21_20-02;103079;Freitag;4
2018-12-21_20-03;101458;Freitag;4
2018-12-21_20-04;108376;Freitag;4
2018-12-21_20-05;98873;Freitag;4
2018-12-21_20-06;105204;Freitag;4
2018-12-21_20-07;101574;Freitag;4
2018-12-21_20-08;107086;Freitag;4
2018-12-21_20-09;104368;Freitag;4
2018-12-21_20-10;103521;Freitag;4
2018-12-21_20-11;100179;Freitag;4
2018-12-21_20-12;99787;Freitag;4
2018-12-21_20-13;100447;Freitag;4
2018-12-21_20-14;96753;Freitag;4
2018-12-21_20-15;96741;Freitag;4
2018-12-21_20-16;98930;Freitag;4
2018-12-21_20-17;98878;Freitag;4
2018-12-21_20-18;94742;Freitag;4
2018-12-21_20-19;96404;Freitag;4
2018-12-21_20-20;95572;Freitag;4
2018-12-21_20-21;96047;Freitag;4
2018-12-21_20-22;93873;Freitag;4
2018-12-21_20-23;94951;Freitag;4
2018-12-21_20-24;94286;Freitag;4
2018-12-21_20-25;90641;Freitag;4
2018-12-21_20-26;93127;Freitag;4
2018-12-21_20-27;92429;Freitag;4
2018-12-21_20-28;89934;Freitag;4
2018-12-21_20-29;93615;Freitag;4
2018-12-21_20-30;89960;Freitag;4
2018-12-21_20-31;90262;Freitag;4
2018-12-21_20-32;89772;Freitag;4
2018-12-21_20-33;88362;Freitag;4
2018-12-21_20-34;92339;Freitag;4
2018-12-21_20-35;86647;Freitag;4
2018-12-21_20-36;89195;Freitag;4
2018-12-21_20-37;88891;Freitag;4
2018-12-21_20-38;85611;Freitag;4
2018-12-21_20-39;86165;Freitag;4
2018-12-21_20-40;88967;Freitag;4
2018-12-21_20-41;86665;Freitag;4
2018-12-21_20-42;84296;Freitag;4
2018-12-21_20-43;85395;Freitag;4
2018-12-21_20-44;86778;Freitag;4
2018-12-21_20-45;84894;Freitag;4
2018-12-21_20-46;83895;Freitag;4
2018-12-21_20-47;86152;Freitag;4
2018-12-21_20-48;84782;Freitag;4
2018-12-21_20-49;86255;Freitag;4
2018-12-21_20-50;82452;Freitag;4
2018-12-21_20-51;85141;Freitag;4
2018-12-21_20-52;85458;Freitag;4
2018-12-21_20-53;83120;Freitag;4
2018-12-21_20-54;82677;Freitag;4
2018-12-21_20-55;85923;Freitag;4
2018-12-21_20-56;82076;Freitag;4
2018-12-21_20-57;83688;Freitag;4
2018-12-21_20-58;84974;Freitag;4
2018-12-21_20-59;81047;Freitag;4
2018-12-21_21-00;86219;Freitag;4
2018-12-21_21-01;83151;Freitag;4
2018-12-21_21-02;81636;Freitag;4
2018-12-21_21-03;81073;Freitag;4
2018-12-21_21-04;85600;Freitag;4
2018-12-21_21-05;80805;Freitag;4
2018-12-21_21-06;83722;Freitag;4
2018-12-21_21-07;84086;Freitag;4
2018-12-21_21-08;78977;Freitag;4
2018-12-21_21-09;82974;Freitag;4
2018-12-21_21-10;83750;Freitag;4
2018-12-21_21-11;80507;Freitag;4
2018-12-21_21-12;79524;Freitag;4
2018-12-21_21-13;81438;Freitag;4
2018-12-21_21-14;82042;Freitag;4
2018-12-21_21-15;80968;Freitag;4
2018-12-21_21-16;80727;Freitag;4
2018-12-21_21-17;75134;Freitag;4
2018-12-21_21-18;83846;Freitag;4
2018-12-21_21-19;77220;Freitag;4
2018-12-21_21-20;78722;Freitag;4
2018-12-21_21-21;77969;Freitag;4
2018-12-21_21-22;80810;Freitag;4
2018-12-21_21-23;75814;Freitag;4
2018-12-21_21-24;80017;Freitag;4
2018-12-21_21-25;82281;Freitag;4
2018-12-21_21-26;78163;Freitag;4
2018-12-21_21-27;76855;Freitag;4
2018-12-21_21-28;82920;Freitag;4
2018-12-21_21-29;81833;Freitag;4
2018-12-21_21-30;78012;Freitag;4
2018-12-21_21-31;76191;Freitag;4
2018-12-21_21-32;79838;Freitag;4
2018-12-21_21-33;78522;Freitag;4
2018-12-21_21-34;76246;Freitag;4
2018-12-21_21-35;78470;Freitag;4
2018-12-21_21-36;80402;Freitag;4
2018-12-21_21-37;78680;Freitag;4
2018-12-21_21-38;76219;Freitag;4
2018-12-21_21-39;78858;Freitag;4
2018-12-21_21-40;76575;Freitag;4
2018-12-21_21-41;78770;Freitag;4
2018-12-21_21-42;77287;Freitag;4
2018-12-21_21-43;78399;Freitag;4
2018-12-21_21-44;76371;Freitag;4
2018-12-21_21-45;79315;Freitag;4
2018-12-21_21-46;75471;Freitag;4
2018-12-21_21-47;76810;Freitag;4
2018-12-21_21-48;80795;Freitag;4
2018-12-21_21-49;72825;Freitag;4
2018-12-21_21-50;79402;Freitag;4
2018-12-21_21-51;79482;Freitag;4
2018-12-21_21-52;76590;Freitag;4
2018-12-21_21-53;73794;Freitag;4
2018-12-21_21-54;81033;Freitag;4
2018-12-21_21-55;75932;Freitag;4
2018-12-21_21-56;75188;Freitag;4
2018-12-21_21-57;77794;Freitag;4
2018-12-21_21-58;77094;Freitag;4
2018-12-21_21-59;76792;Freitag;4
2018-12-21_22-00;75203;Freitag;4
2018-12-21_22-01;76704;Freitag;4
2018-12-21_22-02;74660;Freitag;4
2018-12-21_22-03;76143;Freitag;4
2018-12-21_22-04;73873;Freitag;4
2018-12-21_22-05;77891;Freitag;4
2018-12-21_22-06;76052;Freitag;4
2018-12-21_22-07;74426;Freitag;4
2018-12-21_22-08;73947;Freitag;4
2018-12-21_22-09;77410;Freitag;4
2018-12-21_22-10;73758;Freitag;4
2018-12-21_22-11;78524;Freitag;4
2018-12-21_22-12;74285;Freitag;4
2018-12-21_22-13;71696;Freitag;4
2018-12-21_22-14;76301;Freitag;4
2018-12-21_22-15;74419;Freitag;4
2018-12-21_22-16;72593;Freitag;4
2018-12-21_22-17;73858;Freitag;4
2018-12-21_22-18;74863;Freitag;4
2018-12-21_22-19;73422;Freitag;4
2018-12-21_22-20;74516;Freitag;4
2018-12-21_22-21;71405;Freitag;4
2018-12-21_22-22;74878;Freitag;4
2018-12-21_22-23;70928;Freitag;4
2018-12-21_22-24;72415;Freitag;4
2018-12-21_22-25;72085;Freitag;4
2018-12-21_22-26;74538;Freitag;4
2018-12-21_22-27;71000;Freitag;4
2018-12-21_22-28;71602;Freitag;4
2018-12-21_22-29;69573;Freitag;4
2018-12-21_22-30;72549;Freitag;4
2018-12-21_22-31;72001;Freitag;4
2018-12-21_22-32;71534;Freitag;4
2018-12-21_22-33;70928;Freitag;4
2018-12-21_22-34;71117;Freitag;4
2018-12-21_22-35;74247;Freitag;4
2018-12-21_22-36;68250;Freitag;4
2018-12-21_22-37;71897;Freitag;4
2018-12-21_22-38;68829;Freitag;4
2018-12-21_22-39;70194;Freitag;4
2018-12-21_22-40;71418;Freitag;4
2018-12-21_22-41;70811;Freitag;4
2018-12-21_22-42;69650;Freitag;4
2018-12-21_22-43;69517;Freitag;4
2018-12-21_22-44;71607;Freitag;4
2018-12-21_22-45;67370;Freitag;4
2018-12-21_22-46;70359;Freitag;4
2018-12-21_22-47;69791;Freitag;4
2018-12-21_22-48;71598;Freitag;4
2018-12-21_22-49;67027;Freitag;4
