Datetime,Count
2018-12-21 04:30:00,30308.200000000004
2018-12-21 04:35:00,32949.2
2018-12-21 04:40:00,35540.2
2018-12-21 04:45:00,38322.4
2018-12-21 04:50:00,41512.00000000001
2018-12-21 04:55:00,45260.600000000006
2018-12-21 05:00:00,49729.0
2018-12-21 05:05:00,54941.40000000001
2018-12-21 05:10:00,60769.00000000001
2018-12-21 05:15:00,67349.0
2018-12-21 05:20:00,74738.20000000001
2018-12-21 05:25:00,82960.20000000001
2018-12-21 05:30:00,91929.6
2018-12-21 05:35:00,101272.80000000002
2018-12-21 05:40:00,110430.20000000001
2018-12-21 05:45:00,119811.20000000001
2018-12-21 05:50:00,129709.40000000001
2018-12-21 05:55:00,140552.2
2018-12-21 06:00:00,153061.80000000002
2018-12-21 06:05:00,167233.20000000004
2018-12-21 06:10:00,182327.80000000002
2018-12-21 06:15:00,198769.40000000002
2018-12-21 06:20:00,216361.0
2018-12-21 06:25:00,234477.00000000003
2018-12-21 06:30:00,252803.80000000002
2018-12-21 06:35:00,269765.80000000005
2018-12-21 06:40:00,283333.2
2018-12-21 06:45:00,292928.2
2018-12-21 06:50:00,299685.0
2018-12-21 06:55:00,304823.6
2018-12-21 07:00:00,310523.4
2018-12-21 07:05:00,316836.4
2018-12-21 07:10:00,323579.4
2018-12-21 07:15:00,329702.2
2018-12-21 07:20:00,335182.39999999997
2018-12-21 07:25:00,339593.19999999995
2018-12-21 07:30:00,344084.8
2018-12-21 07:35:00,347929.6
2018-12-21 07:40:00,349384.4
2018-12-21 07:45:00,348184.20000000007
2018-12-21 07:50:00,345668.20000000007
2018-12-21 07:55:00,342046.0
2018-12-21 08:00:00,339161.4
2018-12-21 08:05:00,338761.00000000006
2018-12-21 08:10:00,340276.80000000005
2018-12-21 08:15:00,342680.80000000005
2018-12-21 08:20:00,346468.4000000001
2018-12-21 08:25:00,350123.60000000003
2018-12-21 08:30:00,353876.80000000005
2018-12-21 08:35:00,357313.4
2018-12-21 08:40:00,358363.2
2018-12-21 08:45:00,356420.6
