id;value
2018-12-21_19-29;129181
2018-12-21_19-30;127965
2018-12-21_19-31;128820
2018-12-21_19-32;127116
2018-12-21_19-33;124083
2018-12-21_19-34;125616
2018-12-21_19-35;121481
2018-12-21_19-36;119717
2018-12-21_19-37;125506
2018-12-21_19-38;115815
2018-12-21_19-39;121762
2018-12-21_19-40;122658
2018-12-21_19-41;114950
2018-12-21_19-42;118558
2018-12-21_19-43;118818
2018-12-21_19-44;116431
2018-12-21_19-45;113923
2018-12-21_19-46;113897
2018-12-21_19-47;116652
2018-12-21_19-48;109451
2018-12-21_19-49;115010
2018-12-21_19-50;112708
2018-12-21_19-51;112012
2018-12-21_19-52;109431
2018-12-21_19-53;111097
2018-12-21_19-54;113091
2018-12-21_19-55;106946
2018-12-21_19-56;106746
2018-12-21_19-57;110506
2018-12-21_19-58;104979
2018-12-21_19-59;108324
2018-12-21_20-00;104402
2018-12-21_20-01;107338
2018-12-21_20-02;103079
2018-12-21_20-03;101458
2018-12-21_20-04;108376
2018-12-21_20-05;98873
2018-12-21_20-06;105204
2018-12-21_20-07;101574
2018-12-21_20-08;107086
2018-12-21_20-09;104368
2018-12-21_20-10;103521
2018-12-21_20-11;100179
2018-12-21_20-12;99787
2018-12-21_20-13;100447
2018-12-21_20-14;96753
2018-12-21_20-15;96741
2018-12-21_20-16;98930
2018-12-21_20-17;98878
2018-12-21_20-18;94742
2018-12-21_20-19;96404
2018-12-21_20-20;95572
2018-12-21_20-21;96047
2018-12-21_20-22;93873
2018-12-21_20-23;94951
2018-12-21_20-24;94286
2018-12-21_20-25;90641
2018-12-21_20-26;93127
2018-12-21_20-27;92429
2018-12-21_20-28;89934
2018-12-21_20-29;93615
2018-12-21_20-30;89960
2018-12-21_20-31;90262
2018-12-21_20-32;89772
2018-12-21_20-33;88362
2018-12-21_20-34;92339
2018-12-21_20-35;86647
2018-12-21_20-36;89195
2018-12-21_20-37;88891
2018-12-21_20-38;85611
2018-12-21_20-39;86165
2018-12-21_20-40;88967
2018-12-21_20-41;86665
